caregiver_id,caregiver_age,caregiver_gender,training_course,experience_years,skill_feeding,skill_bathing,skill_dressing,skill_toileting,skill_transfer,skill_wheelchair,skill_wound_care,skill_tube_feeding,skill_medication,skill_dementia_care,skill_communication,patience_level,stress_management,Caregiver_care_time,location,caregiver_lat,caregiver_long,wage
CG016,31,ชาย,70ชม,3,1,1,1,1,1,0,0,0,1,0,1,4,1,รายวัน,บางกอกใหญ่,13.7297,100.4742,20000
CG017,29,หญิง,70ชม,2,1,0,1,1,0,0,0,0,1,0,1,3,1,ไปกลับ,บางซื่อ,13.8096,100.5379,17000
CG018,44,ชาย,420ชม,7,1,1,1,1,1,1,1,0,1,1,1,4,1,อยู่ประจำ,วัฒนา,13.7381,100.5597,24000
CG019,36,หญิง,70ชม,5,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,บางนา,13.6644,100.6099,20000
CG020,58,หญิง,420ชม,15,1,1,1,1,1,1,1,1,1,1,1,5,1,รายวัน,ลาดพร้าว,13.8241,100.6088,24000
CG021,33,หญิง,70ชม,2,1,1,1,1,0,0,0,0,1,0,1,3,1,อยู่ประจำ,บางเขน,13.8739,100.5964,20000
CG022,46,หญิง,420ชม,8,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,จตุจักร,13.8286,100.5597,24000
CG023,28,ชาย,70ชม,1,0,0,1,0,0,0,0,0,1,0,1,2,0,อยู่ประจำ,บางขุนเทียน,13.6608,100.4358,15000
CG024,39,หญิง,70ชม,4,1,1,1,1,1,0,0,0,1,0,1,4,1,ไปกลับ,จตุจักร,13.8286,100.5597,20000
CG025,52,หญิง,420ชม,12,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,บางรัก,13.7263,100.5279,24000
CG026,31,หญิง,70ชม,3,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,จอมทอง,13.6766,100.4691,20000
CG027,27,หญิง,70ชม,1,1,0,1,1,0,0,0,0,1,0,1,2,0,อยู่ประจำ,บางนา,13.6644,100.6099,15000
CG028,43,ชาย,420ชม,7,1,1,1,1,1,1,1,0,1,1,1,4,1,อยู่ประจำ,ภาษีเจริญ,13.716,100.45,24000
CG029,35,หญิง,70ชม,5,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,ลาดกระบัง,13.7288,100.8542,20000
CG030,56,หญิง,420ชม,16,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,จตุจักร,13.8286,100.5597,24000
CG031,30,หญิง,70ชม,2,1,1,1,1,0,0,0,0,1,0,1,3,1,อยู่ประจำ,บางนา,13.6644,100.6099,20000
CG032,48,ชาย,420ชม,9,1,1,1,1,1,1,1,1,1,1,1,5,1,รายวัน,วัฒนา,13.7381,100.5597,24000
CG033,26,หญิง,70ชม,1,1,0,1,0,0,0,0,0,1,0,1,2,0,อยู่ประจำ,บางกอกใหญ่,13.7297,100.4742,15000
CG034,37,หญิง,70ชม,4,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,บางพลัด,13.7939,100.505,20000
CG035,54,หญิง,420ชม,13,1,1,1,1,1,1,1,1,1,1,1,5,1,รายวัน,คลองสามวา,13.8597,100.7042,24000
CG036,32,ชาย,70ชม,3,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,บางขุนเทียน,13.6608,100.4358,20000
CG037,29,หญิง,70ชม,2,1,0,1,1,0,0,0,0,1,0,1,3,1,อยู่ประจำ,บางเขน,13.8739,100.5964,17000
CG038,44,ชาย,420ชม,8,1,1,1,1,1,1,1,0,1,1,1,4,1,อยู่ประจำ,ลาดพร้าว,13.8241,100.6088,24000
CG039,36,หญิง,70ชม,5,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,บางขุนเทียน,13.6608,100.4358,20000
CG040,59,หญิง,420ชม,18,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,พระนคร,13.76498,100.49873,24000
CG041,34,หญิง,70ชม,2,1,1,1,1,0,0,0,0,1,0,1,3,1,อยู่ประจำ,ภาษีเจริญ,13.716,100.45,20000
CG042,47,ชาย,420ชม,10,1,1,1,1,1,1,1,1,1,1,1,5,1,รายวัน,จตุจักร,13.8286,100.5597,24000
CG043,25,หญิง,70ชม,1,1,0,1,0,0,0,0,0,1,0,1,2,0,อยู่ประจำ,วัฒนา,13.7381,100.5597,15000
CG044,38,หญิง,70ชม,4,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,บางกะปิ,13.7658,100.6478,20000
CG045,55,หญิง,420ชม,14,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,บางขุนเทียน,13.6608,100.4358,24000
CG046,30,ชาย,70ชม,3,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,พระนคร,13.76498,100.49873,20000
CG047,28,หญิง,70ชม,2,1,0,1,1,0,0,0,0,1,0,1,3,1,อยู่ประจำ,บางซื่อ,13.8096,100.5379,17000
CG048,42,ชาย,420ชม,7,1,1,1,1,1,1,1,0,1,1,1,4,1,อยู่ประจำ,จตุจักร,13.8286,100.5597,24000
CG049,36,หญิง,70ชม,5,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,บางเขน,13.8739,100.5964,20000
CG050,58,หญิง,420ชม,16,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,ลาดพร้าว,13.8241,100.6088,24000
CG051,33,หญิง,70ชม,2,1,1,1,1,0,0,0,0,1,0,1,3,1,อยู่ประจำ,ภาษีเจริญ,13.716,100.45,20000
CG052,49,ชาย,420ชม,9,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,ปทุมวัน,13.7462,100.5308,24000
CG053,27,หญิง,70ชม,1,1,0,1,0,0,0,0,0,1,0,1,2,0,อยู่ประจำ,จอมทอง,13.6766,100.4691,15000
CG054,39,หญิง,70ชม,4,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,บางรัก,13.7263,100.5279,20000
CG055,53,หญิง,420ชม,12,1,1,1,1,1,1,1,1,1,1,1,5,1,รายวัน,คลองสามวา,13.8597,100.7042,24000
CG056,31,ชาย,70ชม,3,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,ลาดพร้าว,13.8241,100.6088,20000
CG057,29,หญิง,70ชม,2,1,0,1,1,0,0,0,0,1,0,1,3,1,อยู่ประจำ,ปทุมวัน,13.7462,100.5308,17000
CG058,45,ชาย,420ชม,8,0,1,1,1,1,1,1,0,1,1,1,4,1,อยู่ประจำ,พระนคร,13.76498,100.49873,24000
CG059,37,หญิง,70ชม,5,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,จตุจักร,13.8286,100.5597,20000
CG060,60,หญิง,420ชม,18,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,คลองสามวา,13.8597,100.7042,24000
CG061,34,หญิง,70ชม,2,1,1,1,1,0,0,0,0,1,0,1,3,1,ไปกลับ,วัฒนา,13.7381,100.5597,20000
CG062,46,ชาย,420ชม,11,1,1,1,1,1,1,1,1,1,1,1,5,1,รายวัน,บางเขน,13.8739,100.5964,24000
CG063,26,หญิง,70ชม,1,1,0,1,0,0,0,0,0,1,0,1,2,0,อยู่ประจำ,บางบอน,13.6549,100.3891,15000
CG064,38,หญิง,70ชม,4,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,บางกะปิ,13.7658,100.6478,20000
CG065,52,หญิง,420ชม,13,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,ดุสิต,13.777,100.521,24000
CG066,32,ชาย,70ชม,3,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,บางกะปิ,13.7658,100.6478,20000
CG067,28,หญิง,70ชม,2,1,0,1,1,0,0,0,0,1,0,1,3,1,รายวัน,บางกอกใหญ่,13.7297,100.4742,17000
CG068,43,ชาย,420ชม,7,1,1,1,1,1,1,1,0,1,1,1,4,1,รายวัน,บางขุนเทียน,13.6608,100.4358,24000
CG069,35,หญิง,70ชม,5,1,1,1,1,1,0,0,0,1,0,1,4,1,ไปกลับ,ภาษีเจริญ,13.716,100.45,20000
CG070,57,หญิง,420ชม,17,1,1,1,1,1,1,1,1,1,1,1,5,1,รายวัน,บางบอน,13.6549,100.3891,24000
CG071,33,หญิง,70ชม,2,1,1,1,1,0,0,0,0,1,0,1,3,1,อยู่ประจำ,จตุจักร,13.8286,100.5597,20000
CG072,48,ชาย,420ชม,9,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,ท่าพระจันทร์,13.7566,100.4889,24000
CG073,25,หญิง,70ชม,1,1,0,1,0,0,0,0,0,1,0,1,2,0,อยู่ประจำ,ลาดพร้าว,13.8241,100.6088,15000
CG074,37,หญิง,70ชม,4,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,วัฒนา,13.7381,100.5597,20000
CG075,54,หญิง,420ชม,12,1,1,1,1,1,1,1,1,1,1,1,5,1,รายวัน,บางบอน,13.6549,100.3891,24000
CG076,31,ชาย,70ชม,3,0,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,พระนคร,13.76498,100.49873,20000
CG077,29,หญิง,70ชม,2,1,0,1,1,0,0,0,0,1,0,1,3,1,อยู่ประจำ,จอมทอง,13.6766,100.4691,17000
CG078,44,ชาย,420ชม,8,1,1,1,1,1,1,1,0,1,1,1,4,1,อยู่ประจำ,คลองสามวา,13.8597,100.7042,24000
CG079,36,หญิง,70ชม,5,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,ภาษีเจริญ,13.716,100.45,20000
CG080,59,หญิง,420ชม,18,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,บางเขน,13.8739,100.5964,24000
CG081,34,หญิง,70ชม,2,1,1,1,1,0,0,0,0,1,0,1,3,1,อยู่ประจำ,พระนคร,13.76498,100.49873,20000
CG082,47,ชาย,420ชม,10,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,ลาดพร้าว,13.8241,100.6088,24000
CG083,26,หญิง,70ชม,1,1,0,1,0,0,0,0,0,1,0,1,2,0,อยู่ประจำ,ปทุมวัน,13.7462,100.5308,15000
CG084,38,หญิง,70ชม,4,1,1,1,1,1,0,0,0,1,0,1,4,1,รายวัน,ภาษีเจริญ,13.716,100.45,20000
CG085,55,หญิง,420ชม,14,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,บางบอน,13.6549,100.3891,24000
CG086,32,ชาย,70ชม,3,1,1,1,1,1,0,0,0,1,0,1,4,1,รายวัน,วัฒนา,13.7381,100.5597,20000
CG087,28,หญิง,70ชม,2,1,0,1,1,0,0,0,0,1,0,1,3,1,อยู่ประจำ,จตุจักร,13.8286,100.5597,17000
CG088,42,ชาย,420ชม,7,1,1,1,1,1,1,1,0,1,1,1,4,1,อยู่ประจำ,จอมทอง,13.6766,100.4691,24000
CG089,35,หญิง,70ชม,5,0,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,บางเขน,13.8739,100.5964,20000
CG090,58,หญิง,420ชม,16,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,ลาดพร้าว,13.8241,100.6088,24000
CG091,33,หญิง,70ชม,2,1,1,1,1,0,0,0,0,1,0,1,3,1,อยู่ประจำ,ภาษีเจริญ,13.716,100.45,20000
CG092,49,ชาย,420ชม,9,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,ดุสิต,13.777,100.521,24000
CG093,27,หญิง,70ชม,1,1,0,1,0,0,0,0,0,1,0,1,2,0,ไปกลับ,ท่าพระจันทร์,13.7566,100.4889,15000
CG094,39,หญิง,70ชม,4,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,ลาดพร้าว,13.8241,100.6088,20000
CG095,53,หญิง,420ชม,12,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,คลองสามวา,13.8597,100.7042,24000
CG096,31,ชาย,70ชม,3,1,1,1,1,1,0,0,0,1,0,1,4,1,อยู่ประจำ,ลาดพร้าว,13.8241,100.6088,20000
CG097,29,หญิง,70ชม,2,1,0,1,1,0,0,0,0,1,0,1,3,1,ไปกลับ,จตุจักร,13.8286,100.5597,17000
CG098,45,ชาย,420ชม,8,1,1,1,1,1,1,1,0,1,1,1,4,1,รายวัน,ภาษีเจริญ,13.716,100.45,24000
CG099,37,หญิง,70ชม,5,1,1,1,1,1,0,0,0,1,0,1,4,1,รายวัน,บางเขน,13.8739,100.5964,20000
CG100,60,หญิง,420ชม,18,1,1,1,1,1,1,1,1,1,1,1,5,1,อยู่ประจำ,พระนคร,13.76498,100.49873,24000
CG101,30,ชาย,70ชม,7,1,1,1,1,1,1,1,1,1,1,1,0,0,อยู่ประจำ,พระนคร,13.76498,100.49873,18000
CG102,30,หญิง,420ชม,19,1,1,1,1,1,1,1,1,1,1,1,0,0,อยู่ประจำ,ภาษีเจริญ,13.716,100.45,40000
CG103,30,หญิง,420ชม,2,1,1,1,1,1,1,1,1,1,1,1,0,0,อยู่ประจำ,ดุสิต,13.777,100.521,18000
CG104,30,หญิง,420ชม,2,1,1,1,1,1,1,1,1,1,1,1,0,0,อยู่ประจำ,ยานนาวา,13.6963,100.5431,18000
CG105,30,ชาย,70ชม,7,1,1,1,1,1,1,1,1,1,1,1,0,0,ไปกลับ,หนองจอก,13.8554,100.8625,18000
CG106,30,หญิง,70ชม,2,1,1,1,1,1,1,1,1,1,1,1,0,0,อยู่ประจำ,หนองจอก,13.8554,100.8625,18000
CG107,25,ชาย,ไม่เคยผ่านการอบรม,0,1,0,1,1,1,1,1,1,1,1,1,0,0,ไปกลับ,ดุสิต,13.777,100.521,18000
CG108,30,หญิง,420ชม,19,1,1,1,1,1,1,1,1,1,1,1,0,0,รายวัน,ภาษีเจริญ,13.716,100.45,20000
CG109,45,หญิง,420ชม,12,1,1,1,1,1,1,1,1,1,1,1,0,0,รายวัน,ลาดกระบัง,13.7288,100.8542,20000
CG110,45,หญิง,420ชม,13,1,1,1,1,1,1,1,1,1,1,1,0,0,รายวัน,ลาดกระบัง,13.7288,100.8542,19000
CG111,30,ชาย,ไม่เคยผ่านการอบรม,2,1,1,1,1,1,1,1,1,1,1,1,0,0,อยู่ประจำ,ลาดพร้าว,13.8241,100.6088,18000
CG112,46,หญิง,420ชม,16,1,0,1,1,0,1,1,0,1,1,1,0,0,ไปกลับ,พญาไท,13.78,100.54,9200
CG113,21,ชาย,ไม่เคยผ่านการอบรม,0,1,1,1,1,1,1,1,1,1,1,1,0,0,รายวัน,ห้วยขวาง,13.7789,100.5767,15000
